ID,Version,Conclusion,ConclusionConfidence,ConclusionACC,MagicNumber.SelfReport,EqualSpacing.SelfReport,SupportingPlot.33dataACC,SupportingPlot.33data.Confidence,RefutingPlot.33dataACC,RefutingPlot.33data.Confidence,SupportingPlot.220dataACC,SupportingPlot.220data.Confidence,RefutingPlot.220dataACC,RefutingPlot.220data.Confidence,Age,Gender,Iteration,Familiar,GeoIdentity,Bachelors,YearsUG,MajorUG,MinorUG,YearsPractice,GeoSpecialization,AcademicPosition
1593538821131.json,Null,Hypothesis Not Supported,Moderately confident in my conclusion,Incorrect,1,1,1,Very confident in this conclusion,1,Moderately confident in this conclusion,1,Very confident in this conclusion,1,Moderately confident in this conclusion,32,female,2,0,Field Geoscientist,1,"","","",10,Geomorphology,independent research organization
1593539448066.json,Null,Hypothesis Supported,Very confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,1,Slightly confident in this conclusion,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,35,male,2,1,Field Geoscientist,1,"","","",13,Fluvial Geomorphology,Industry
1593541194718.json,Alternative,Hypothesis Supported,Moderately confident in my conclusion,Incorrect,1,1,1,Slightly confident in this conclusion,0,Slightly confident in this conclusion,1,Very confident in this conclusion,0,Very confident in this conclusion,24,male,2,1,Field Geoscientist,1,"","","",2,Geomorphology,Graduate Students
1593541516413.json,Null,Hypothesis Supported,Moderately confident in my conclusion,Correct,1,1,1,Very confident in this conclusion,0,Moderately confident in this conclusion,1,Very confident in this conclusion,0,Moderately confident in this conclusion,31,male,2,0,Field Geoscientist,1,"","","",10,Hydrodynamics,Assistant Professor
1593542909385.json,Null,Hypothesis Supported,Very confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,1,Slightly confident in this conclusion,1,Moderately confident in this conclusion,1,Slightly confident in this conclusion,47,female,2,1,Field Geoscientist,1,"","","",17,Clastic sedimentology,Associate Professor
1593543098394.json,Null,Hypothesis Not Supported,Very confident in my conclusion,Incorrect,1,1,1,Moderately confident in this conclusion,0,Moderately confident in this conclusion,1,Moderately confident in this conclusion,0,Moderately confident in this conclusion,43,female,2,0,Computational Geoscientist,1,"","","",1,slope stability,Industry
1593543133450.json,Null,Hypothesis Supported,Moderately confident in my conclusion,Correct,1,1,1,Very confident in this conclusion,1,Slightly confident in this conclusion,1,Very confident in this conclusion,1,Moderately confident in this conclusion,28,female,2,1,Field Geoscientist,1,"","","",6,"Geomorphology, active tectonics",Graduate Students
1593545669570.json,Null,Hypothesis Supported,Moderately confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Very confident in this conclusion,1,Very confident in this conclusion,28,male,2,1,Lab Geoscientist,1,"","","",6,Sediment transport,Industry
1593547336844.json,Null,Hypothesis Supported,Moderately confident in my conclusion,Correct,1,1,1,Slightly confident in this conclusion,1,Slightly confident in this conclusion,1,Moderately confident in this conclusion,1,Slightly confident in this conclusion,40,female,2,0,Field Geoscientist,1,"","","",18,Geomorphology,Assistant Professor
1593547951118.json,Alternative,Hypothesis Not Supported,Very confident in my conclusion,Correct,0,0,1,Very confident in this conclusion,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,0,Moderately confident in this conclusion,45,male,2,0,Lab Geoscientist,1,"","","",6,"geochemistry, earth surface processes, tectonics, climate",Postdoctoral
1593548058969.json,Null,Hypothesis Supported,Moderately confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,0,Moderately confident in this conclusion,1,Moderately confident in this conclusion,0,Moderately confident in this conclusion,35,male,2,1,Lab Geoscientist,1,"","","",12,Geomorphology,Postdoctoral
1593550103153.json,Null,Hypothesis Not Supported,Slightly confident in my conclusion,Incorrect,1,1,1,Slightly confident in this conclusion,1,Slightly confident in this conclusion,1,Moderately confident in this conclusion,1,Slightly confident in this conclusion,28,female,2,0,Field Geoscientist,1,"","","",3,Hydrology,Graduate Students
1593550674370.json,Alternative,Hypothesis Not Supported,Very confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Very confident in this conclusion,28,male,2,1,other,1,"","","",16,Hydrology and Geomechanics,Assistant Professor
1593583822482.json,Alternative,Hypothesis Supported,Moderately confident in my conclusion,Incorrect,1,1,1,Moderately confident in this conclusion,0,Moderately confident in this conclusion,1,Very confident in this conclusion,0,Very confident in this conclusion,35,female,2,0,other,1,"","","",7,"Geomorphology, cosmogenic nuclides",Postdoctoral
1593589653022.json,Null,Hypothesis Supported,Moderately confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,0,Slightly confident in this conclusion,1,Moderately confident in this conclusion,0,Slightly confident in this conclusion,39,male,2,0,Lab Geoscientist,1,"","","",19,Isotope Geochemistry,Industry
1593590736190.json,Null,Hypothesis Supported,Very confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,0,Slightly confident in this conclusion,1,Very confident in this conclusion,0,Very confident in this conclusion,31,male,2,0,other,1,"","","",9,"Tectonics, structural geology, geophysics, geochronology",Unemployed
1593596427201.json,Null,Hypothesis Supported,Very confident in my conclusion,Correct,1,1,1,Very confident in this conclusion,1,Moderately confident in this conclusion,1,Very confident in this conclusion,1,Very confident in this conclusion,25,female,2,1,Computational Geoscientist,1,"","","",3,Geormorphology and Remote Sensing,Graduate Students
1593712260273.json,Alternative,Hypothesis Supported,Very confident in my conclusion,Incorrect,1,1,1,Slightly confident in this conclusion,0,Moderately confident in this conclusion,1,Moderately confident in this conclusion,0,Moderately confident in this conclusion,60,male,2,1,Field Geoscientist,1,"","","",35,arctic,Full Professor
1593765834467.json,Null,Hypothesis Supported,Moderately confident in my conclusion,Correct,0,1,1,Moderately confident in this conclusion,1,Slightly confident in this conclusion,1,Very confident in this conclusion,0,Moderately confident in this conclusion,27,male,2,0,Computational Geoscientist,1,"","","",4,geomorphology,Graduate Students
1593781123178.json,Alternative,Hypothesis Supported,Moderately confident in my conclusion,Incorrect,1,1,0,Slightly confident in this conclusion,0,Moderately confident in this conclusion,1,Moderately confident in this conclusion,0,Moderately confident in this conclusion,28,female,2,0,"",1,"","","",3,"",""
